Customer ID,Cluster Demo,recency,frequency,monetary,segment_overall_scoring,RFM_cluster
FC-14335,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",184.0,10,3889.3659999999995,B,Recent Customer
JP-15520,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",8.0,16,3635.594,B,Recent Customer
SR-20425,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",8.0,9,3233.4810000000007,B,Recent Customer
ST-20530,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",125.0,12,433.34,B,Recent Customer
JL-15130,"Laki-laki berusia 25-39 dan Belum/Tidak menikah, pekerjaan staff dengan range salary 0-999 di region East",8.0,12,1214.956,B,Recent Customer
BM-11140,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",307.0,16,11789.630000000001,B,Big Amount Sales
SG-20470,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",183.0,14,1884.7980000000002,B,Recent Customer
CM-12445,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",436.0,9,287.98999999999995,C,Almost Lost
DM-12955,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",114.0,9,1322.0340000000003,C,Recent Customer
TS-21610,"laki-laki berusia 40-59 dan sudah menikah, pekerjaan Officer dengan range salary 1000-1999 di region East",55.0,11,2820.4240000000004,B,Recent Customer
BN-11515,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",9.0,17,1459.344,B,Recent Customer
DP-13165,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",812.0,4,1058.616,C,Lost Cheap Customer
CV-12295,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",254.0,13,2830.6279999999997,B,Others
KH-16510,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",22.0,23,5952.859000000002,A,Others
SH-19975,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",29.0,29,3406.8394999999996,A,Others
DK-13225,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",10.0,19,4802.393999999999,A,Others
SC-20305,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",29.0,12,3979.0649999999996,B,Recent Customer
AS-10090,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",28.0,25,3255.3100000000004,A,Others
RD-19720,"Perempuan berusia 25-39 dan Belum/Tidak menikah, pekerjaan Officer dengan range salary 1000-1999 di region west",21.0,20,1419.7370000000003,B,Others
BS-11800,"Laki-laki berusia 25-39 dan Belum/Tidak menikah, pekerjaan staff dengan range salary 0-999 di region East",265.0,8,949.4300000000001,C,Almost Lost
CS-12175,"Perempuan berusia 10-24 dan sudah menikah, pekerjaan customer service dengan range salary 0-999 di region west",232.0,8,844.4580000000001,C,Almost Lost
